date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:07	47494/47494	---MCZ	200	added ('OK')	text/html	etag:%2274fc2225b9d273d85bd904714971ffa8-ssl-df%22	https://platol.netlify.app/tushi/index.html	C:/My%20Web%20Sites/blog/platol.netlify.app/tushi/index.html	(from )
12:01:08	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1627309139-ssl-df	https://platol.netlify.app/robots.txt		(from )
12:01:08	159/159	---M--	200	added ('OK')	image/png	etag:%2255fc712dbadc2216ef43e7ba977427d0-ssl%22	https://platol.netlify.app/tushi/assets/images/favicon.png	C:/My%20Web%20Sites/blog/platol.netlify.app/tushi/assets/images/favicon.png	(from https://platol.netlify.app/tushi/index.html)
12:01:09	85700/85700	---MCZ	200	added ('OK')	text/css	etag:%22a6f8d38b38f65a0d79a5103b0cd1a8e9-ssl-df%22	https://platol.netlify.app/tushi/plugins/tabler-icons/tabler-icons.min.css	C:/My%20Web%20Sites/blog/platol.netlify.app/tushi/plugins/tabler-icons/tabler-icons.min.css	(from https://platol.netlify.app/tushi/index.html)
12:01:10	161101/161101	---MCZ	200	added ('OK')	text/css	etag:%227c4f826efa4350138bb3ccb86a9bd2c3-ssl-df%22	https://platol.netlify.app/tushi/assets/css/style.css	C:/My%20Web%20Sites/blog/platol.netlify.app/tushi/assets/css/style.css	(from https://platol.netlify.app/tushi/index.html)
12:01:10	3314/3314	---M--	200	added ('OK')	image/png	etag:%22cd75d0c7808a3aa4be07ec5d57711e21-ssl%22	https://platol.netlify.app/tushi/assets/images/logo.png	C:/My%20Web%20Sites/blog/platol.netlify.app/tushi/assets/images/logo.png	(from https://platol.netlify.app/tushi/index.html)
12:01:11	47537/47537	---MCZ	200	added ('OK')	text/html	etag:%22f11424e902199e884688fda6e893263d-ssl-df%22	https://platol.netlify.app/tushi/index-2.html	C:/My%20Web%20Sites/blog/platol.netlify.app/tushi/index-2.html	(from https://platol.netlify.app/tushi/index.html)
12:01:12	26221/26221	---MCZ	200	added ('OK')	text/html	etag:%22bf5e1006e1ea0c022d5e9491808159b2-ssl-df%22	https://platol.netlify.app/tushi/index-3.html	C:/My%20Web%20Sites/blog/platol.netlify.app/tushi/index-3.html	(from https://platol.netlify.app/tushi/index.html)
12:01:12	31259/31259	---MCZ	200	added ('OK')	text/html	etag:%229c822b3e9e3e5ab3e749130d02f24e55-ssl-df%22	https://platol.netlify.app/tushi/featured-posts.html	C:/My%20Web%20Sites/blog/platol.netlify.app/tushi/featured-posts.html	(from https://platol.netlify.app/tushi/index.html)
12:01:13	33341/33341	---MCZ	200	added ('OK')	text/html	etag:%228b2c737250e0f566f74f35b5979fe046-ssl-df%22	https://platol.netlify.app/tushi/blog.html	C:/My%20Web%20Sites/blog/platol.netlify.app/tushi/blog.html	(from https://platol.netlify.app/tushi/index.html)
